0,78,76,68,45,56,30,64,64,57,38,90,70,66,65,88,34,60,48,34,68,49,40,68,84,49,62,50,72,42,54,32,28,43,61,54,51,50,46,79,56,52,82,40,29,76,42,74,40,82
78,0,34,44,72,34,72,18,78,82,80,61,61,82,56,31,64,62,14,44,78,34,52,38,62,50,42,38,46,42,64,68,50,48,46,81,35,35,68,74,32,60,78,41,50,47,26,74,64,56
76,34,0,51,68,53,45,52,45,64,65,82,68,40,40,39,34,59,30,42,54,62,80,50,92,38,44,66,48,40,45,58,51,37,76,52,57,31,58,32,72,36,30,66,56,58,37,52,80,16
68,44,51,0,60,54,56,54,76,46,94,54,34,64,36,88,65,28,64,30,54,57,51,83,75,66,82,58,65,44,66,44,46,68,40,48,28,34,32,44,61,80,42,50,68,36,64,36,50,74
45,72,68,60,0,51,68,97,44,72,34,86,82,54,48,46,46,26,50,86,21,34,55,32,71,52,73,46,42,43,57,69,16,51,73,70,45,34,38,82,52,68,53,70,58,26,85,42,62,48
56,34,53,54,51,0,46,59,40,60,66,40,47,75,80,56,65,64,69,64,64,56,24,79,69,35,61,67,19,16,32,38,80,42,68,66,19,74,45,49,52,38,64,46,70,64,52,46,60,32
30,72,45,56,68,46,0,41,44,21,63,73,30,56,20,72,67,54,70,62,62,34,48,56,76,30,32,26,32,78,76,66,30,85,74,62,53,40,32,76,58,56,72,52,56,57,69,70,34,54
64,18,52,54,97,59,41,0,20,72,59,89,43,78,40,50,36,26,18,73,48,74,68,64,82,38,54,50,66,42,32,86,79,60,52,42,34,73,57,40,50,51,32,64,80,78,18,28,54,66
64,78,45,76,44,40,44,20,0,48,30,56,66,18,32,46,71,45,40,76,84,60,86,53,41,42,67,50,11,54,52,88,58,53,40,41,40,75,15,57,88,41,28,68,43,40,38,81,54,44
57,82,64,46,72,60,21,72,48,0,53,54,82,41,30,86,62,72,22,70,66,60,31,46,82,81,86,26,52,38,53,85,26,56,40,46,68,66,86,45,80,67,56,52,29,73,39,36,52,32
38,80,65,94,34,66,63,59,30,53,0,68,85,54,84,22,51,56,66,43,38,51,46,73,52,35,75,20,54,86,52,30,52,50,50,34,42,48,37,48,64,52,31,54,78,13,42,66,56,56
90,61,82,54,86,40,73,89,56,54,68,0,52,51,74,45,60,62,46,54,88,59,32,34,45,68,67,36,75,28,24,58,20,39,49,70,70,27,87,92,64,76,50,64,58,90,39,78,40,48
70,61,68,34,82,47,30,43,66,82,85,52,0,28,73,81,52,26,29,54,40,38,26,66,58,40,60,42,44,28,76,36,60,35,58,40,50,61,46,58,46,58,89,50,72,26,53,77,94,69
66,82,40,64,54,75,56,78,18,41,54,51,28,0,70,83,45,83,95,25,66,69,52,38,76,80,74,22,69,54,57,57,84,78,50,73,50,53,64,82,96,78,92,94,19,44,44,42,39,40
65,56,40,36,48,80,20,40,32,30,84,74,73,70,0,62,68,70,47,79,39,85,56,38,48,26,82,38,58,78,54,54,54,68,48,66,82,62,58,86,76,70,72,64,50,30,44,58,40,38
88,31,39,88,46,56,72,50,46,86,22,45,81,83,62,0,75,62,36,52,76,71,32,46,53,54,42,16,57,53,91,58,23,32,71,78,16,58,58,44,28,52,52,88,46,27,54,34,46,38
34,64,34,65,46,65,67,36,71,62,51,60,52,45,68,75,0,51,64,82,28,81,60,40,60,16,72,64,77,40,42,64,66,50,77,67,56,23,23,67,42,72,94,26,30,40,20,27,74,50
60,62,59,28,26,64,54,26,45,72,56,62,26,83,70,62,51,0,65,26,52,48,41,33,74,49,60,64,54,55,16,75,52,46,64,64,23,52,32,43,46,82,58,92,88,70,52,20,24,68
48,14,30,64,50,69,70,18,40,22,66,46,29,95,47,36,64,65,0,80,50,50,62,61,57,95,54,66,67,70,56,82,26,62,48,55,23,18,50,70,73,42,76,73,28,20,92,23,65,24
34,44,42,30,86,64,62,73,76,70,43,54,54,25,79,52,82,26,80,0,28,28,53,72,36,22,32,64,46,38,57,86,79,72,59,48,50,58,44,52,46,53,50,73,42,82,68,34,72,42
68,78,54,54,21,64,62,48,84,66,38,88,40,66,39,76,28,52,50,28,0,43,50,76,76,29,18,62,78,65,70,21,54,58,16,58,64,12,47,84,55,57,63,27,84,30,24,38,52,55
49,34,62,57,34,56,34,74,60,60,51,59,38,69,85,71,81,48,50,28,43,0,48,62,56,22,54,32,73,78,83,70,53,60,52,64,80,64,63,57,62,59,90,61,31,28,49,80,46,34
40,52,80,51,55,24,48,68,86,31,46,32,26,52,56,32,60,41,62,53,50,48,0,38,90,89,72,58,62,59,36,73,87,56,66,28,56,53,80,64,79,43,78,92,26,44,48,47,46,66
68,38,50,83,32,79,56,64,53,46,73,34,66,38,38,46,40,33,61,72,76,62,38,0,39,55,64,37,52,20,44,88,42,64,61,41,55,78,54,25,55,38,44,76,52,59,71,72,83,46
84,62,92,75,71,69,76,82,41,82,52,45,58,76,48,53,60,74,57,36,76,56,90,39,0,88,53,94,28,66,74,50,78,76,62,60,44,34,39,36,36,76,86,42,67,62,82,62,40,58
49,50,38,66,52,35,30,38,42,81,35,68,40,80,26,54,16,49,95,22,29,22,89,55,88,0,48,88,46,62,45,57,72,90,62,18,91,26,20,40,42,66,40,44,80,52,58,84,58,30
